AuthCount	author	affiliation
1	Matthews, Blake	University of British Columbia
1	Matthey-Doret, Remi	University of British Columbia
1	Maxwell, Sheri A.	University of British Columbia
1	Mayrose, Itay	University of British Columbia
1	McCann, Shaugnessy R.	University of British Columbia
1	McDiarmid, Troy A.	University of British Columbia
1	McEwan, Andrea H.	University of British Columbia
1	McIntire, Eliot J.B.	University of British Columbia
1	McKenzie, Michael	British Columbia Cancer Agency, Vancouver Cancer Centre
1	McLeod, Kylie A.	University of British Columbia
1	Mckown, Athena	University of British Columbia
1	Mckown, Athena D.	University of British Columbia
1	Melnychuk, Michael C.	University of British Columbia
1	Metcalf, Daniel	University of British Columbia
1	Metzger, David C.H.	University of British Columbia
1	Michaletz, Sean	University of British Columbia
1	Michelmore, Richard W.	University of British Columbia
1	Mikkelsen, Jon	University of British Columbia
1	Milsom, William	University of British Columbia
1	Mitchell, Matthew G. E.	University of British Columbia
1	Miton, Charlotte M.	University of British Columbia
1	Moerman, Donald G.	University of British Columbia
1	Monnet, Gauthier	University of British Columbia
1	Montgomery, Graham A.	University of British Columbia
1	Moore, Richard	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Mowat, Garth	University of British Columbia
1	Moyers, Brook	University of British Columbia
1	Mueller, Andreas	University of British Columbia
1	Muthukrishna, Michael	University of British Columbia
1	Myers, Judith H.	University of British Columbia
1	Nadeau, Simon	University of British Columbia
1	Najjaran, Homayoun	University of British Columbia
1	Naman, Sean M.	University of British Columbia
1	Neave, Heather W.	University of British Columbia
1	Ngai, Jacqueline T.	University of British Columbia
1	Nightingale, Tom E.	University of British Columbia
1	Nikelski, Ellen	University of British Columbia
1	Norris, Andrea R.	University of British Columbia
1	Nosil, Patrik	University of British Columbia
1	Nowak, Ephriam	University of British Columbia
1	O'Connor, Mary	University of British Columbia
1	Oh, Yeni	University of British Columbia
1	Ojeda Alayon, Dario I.	University of British Columbia
1	Ostafichuk, Peter	University of British Columbia
1	Ostevik, Katherine	University of British Columbia
1	Otto, Sally P.	University of British Columbia
1	Otto, Sarah Perin	University of British Columbia
1	Ou, Michelle	University of British Columbia
1	Owens, Gregory	University of British Columbia
1	Pakhomova, Larysa	University of British Columbia
1	Palacios-Abrantes, Juliano	University of British Columbia
1	Palomares, Maria L. Deng	University of British Columbia
1	Pamenter, Matthew E.	University of British Columbia
1	Pang, Johnson	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Pari, Sina Soleimani	University of British Columbia
1	Patrick, David	University of British Columbia
1	Payne, Chris	University of British Columbia
1	Pelech, Steven L.	University of British Columbia
1	Penner, Jeremy	University of British Columbia
1	Perkins, Jaryn D.	University of British Columbia
1	Peterson St-Laurent, Guillaume	University of British Columbia
1	Piascik, Edyta K.	University of British Columbia
1	Pokorny, Stanley	University of British Columbia
1	Porter, Alison N.	University of British Columbia
1	Porto, Paula	University of British Columbia
1	Prescott, Cindy E.	University of British Columbia
1	Promislow, Daniel E.L.	University of British Columbia
1	Puterman, Martin L.	University of British Columbia
1	Qi, Guang	University of British Columbia
1	Ranieri, Bernardo	University of British Columbia
1	Ransome, Douglas B.	British Columbia Institute of Technology
1	Read, Tyson J. G.	University of British Columbia
1	Richardson, Michael J.	University of British Columbia
1	Rieseberg, Loren Henry	University of British Columbia
1	Roa, Jinae N.	University of British Columbia
1	Robinson, Carole	University of British Columbia
1	Rodriguez-Cabal, Mariano	University of British Columbia
1	Roesti, Marius	University of British Columbia
1	Rogy, Pierre	University of British Columbia
1	Rolland, Jonathan	University of British Columbia
1	Rothe, K.	University of British Columbia
1	Rothfels, Carl J.	University of British Columbia
1	Rousseau, Roxanne	University of British Columbia
1	Rowe, Heather C.	University of British Columbia
1	Rudman, Seth	University of British Columbia
1	Rummer, Jodie L.	University of British Columbia
1	Ruskey, Jennifer A.	University of British Columbia
1	Russello, M. A.	University of British Columbia
1	Russello, Michael A	University of British Columbia
1	Sachdeva, Rahul	University of British Columbia
1	Sadatsafavi, Mohsen	University of British Columbia
1	Safaei, Javad	University of British Columbia
1	Samuk, Kieran	University of British Columbia
1	Samuk, Kieran M.	University of British Columbia
1	Sandell, Linnéa	University of British Columbia
1	Santoro, Alyson E.	University of British Columbia
1	Sarai, Karnjit	University of British Columbia
1	Sargent, Risa	University of British Columbia
1	Saxer, Gerda	University of British Columbia
1	Schmidt, Danielle	University of British Columbia
1	Scholer, Micah N.	University of British Columbia
1	Schulte, Patricia Marita	University of British Columbia
1	Scofield, Melanie	University of British Columbia
1	Sears, Christopher J.	University of British Columbia
1	Seneviratne, Sampath S.	University of British Columbia
1	Seow, Allison	University of British Columbia
1	Shadwick, Robert E.	University of British Columbia
1	Sharp, Nathaniel P.	University of British Columbia
1	Sheppard, Julie	University of British Columbia
1	Shevchuk, Olena	University of British Columbia
1	Shulman, Ben W.	University of British Columbia
1	Sin, Don D.	University of British Columbia
1	Skaien, Cora L.	University of British Columbia
1	Skyba, Oleksandr	University of British Columbia
1	Slavov, Gancho T.	University of British Columbia
1	Smets, Pia	University of British Columbia
1	Solman, Grayden J. F.	University of British Columbia
1	Soolanayakanahally, Raju Y.	University of British Columbia
1	Soto Gomez, Marybel	University of British Columbia
1	Srivastava, Diane	University of British Columbia
1	Srivastava, Diane Sheila	University of British Columbia
1	Stanton, Brian	University of British Columbia
1	Stark, Keila	University of British Columbia
1	Steiner, Nadja	University of British Columbia
1	Stevenson, Dennis W.	University of British Columbia
1	Stier, Adrian	University of British Columbia
1	Still, David W.	University of British Columbia
1	Strassert, Jurgen F. H.	University of British Columbia
1	Strassert, Jürgen F. H.	University of British Columbia
1	Strassert, Jürgen F.H.	University of British Columbia
1	Straus, Samantha	University of British Columbia
1	Strimas-Mackey, Matthew	University of British Columbia
1	Sumaila, Ussif Rashid	University of British Columbia
1	Sunday, Jennifer	University of British Columbia
1	Suttle, Curtis A.	University of British Columbia
1	Svanbäck, Richard	University of British Columbia
1	Sveinsson, Saemundur	University of British Columbia
1	Sze, Marc A.	University of British Columbia
1	Tack, David C.	University of British Columbia
1	Tam, Angela	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Tamkee, Patrick	University of British Columbia
1	Tan, Wan C.	University of British Columbia
1	Tattersall, Erin R.	University of British Columbia
1	Taylor, Jon	University of British Columbia
1	Teh, Louise	University of British Columbia
1	Teh, Lydia C. L.	University of British Columbia
1	Tezcan, Emre	University of British Columbia
1	Thiessen, Nina	Genome Sciences Centre, British Columbia Cancer Agency, 100‐570 West 7th Ave, Vancouver, BC V5Z 4S6, Canada
1	Thistlethwaite, Frances R.	University of British Columbia
1	Thompson, Allison	University of British Columbia
